SettlementPoint,Year,Month,Mean,Min,Max,SD,Volatility
LZ_NORTH,2018,04,24.366888888888894,8.91,58.24,7.779202510434246,0.31381651725141557
LZ_NORTH,2018,05,37.4518817204301,9.54,557.83,40.89663061155096,0.6269050864758396
LZ_NORTH,2018,06,31.30161111111111,15.26,122.97,16.441007465142185,0.4339613875033105
LZ_NORTH,2018,07,79.84618279569894,9.8,2079.81,235.36841649562857,0.8999778290017111
LZ_NORTH,2018,08,31.971586021505377,11.92,151.52,19.077278619523035,0.46542819970918575
LZ_NORTH,2018,09,27.885847222222218,13.94,91.58,12.013980791934745,0.35092610411657676
LZ_NORTH,2018,10,31.64541666666666,9.59,95.95,11.41539314407052,0.3324553820436994
LZ_NORTH,2018,11,31.974124999999997,9.21,124.07,12.307011720189275,0.32839590797154383
LZ_NORTH,2018,12,31.131948924731184,6.87,121.19,10.753266871853738,0.3193551441227331
LZ_NORTH,2019,01,24.36783602150538,5.13,75.38,8.35348452176956,0.31579377973800155
LZ_NORTH,2019,02,20.851145833333334,4.36,56.78,7.117460637617205,0.3553546745415509
LZ_NORTH,2019,03,28.594037685060563,9.11,681.29,34.4362405222051,0.40934075274112547
LZ_NORTH,2019,04,23.71843055555555,6.62,103.76,11.928849097374753,0.4234746348812096
LZ_NORTH,2019,05,24.011451612903222,10.12,67.8,8.738728285557318,0.3189995629415084
LZ_NORTH,2019,06,25.207916666666662,8.21,101.28,13.618453889307249,0.4193924443806878
LZ_NORTH,2019,07,29.83494623655914,11.22,274.89,26.955125726994385,0.557473839885139
LZ_NORTH,2019,08,126.6009139784946,10.08,3501.54,401.63191065044884,1.2163756373706913
LZ_NORTH,2019,09,80.77415277777779,7.81,5010.51,380.7589692018482,0.8980494111592233
LZ_NORTH,2019,10,28.732943548387098,6.21,863.71,54.425610973295086,0.6137608509564199
LZ_NORTH,2019,11,24.153611111111108,3.67,218.41,15.742828193014056,0.43316677879054505
LZ_NORTH,2019,12,19.006801075268818,4.07,59.99,7.142365271934622,0.3246653577757296
LZ_RAYBN,2016,01,19.447943548387094,5.08,57.38,5.871734395366459,0.2739813703011657
LZ_RAYBN,2016,02,15.400431034482759,2.32,53.35,5.753466127110896,0.4396025682996247
LZ_RAYBN,2016,03,17.117240915208615,1.86,61.55,7.327291215387116,0.4493361326411221
LZ_RAYBN,2016,04,18.855361111111115,1.45,90.56,9.706044207969228,0.5214276400878733
LZ_RAYBN,2016,05,18.320994623655913,4.31,75.95,7.887065178197738,0.401947928202212
LZ_RAYBN,2016,06,23.315944444444447,3.65,100.54,10.573416883232081,0.3872013061909574
LZ_RAYBN,2016,07,27.47107526881721,9.03,101.88,12.383051616960067,0.3869756265309797
LZ_RAYBN,2016,08,30.14975806451613,13.37,226.86,26.11001588311446,0.4753278755107807
LZ_RAYBN,2016,09,26.47026388888889,10.72,200.59,14.81833054821785,0.3673768851436395
LZ_RAYBN,2016,10,24.45251344086022,3.14,274.16,15.968735318472177,0.41763167056180867
LZ_RAYBN,2016,11,18.87531944444445,2.9,47.33,6.182334306537095,0.3813081826895607
LZ_RAYBN,2016,12,25.319556451612907,4.44,138.15,10.848662138407187,0.3883186154187296
LZ_RAYBN,2017,01,23.39010752688172,2.43,96.42,7.174455207570434,0.3226325557447652
LZ_RAYBN,2017,02,20.369151785714287,5.62,51.8,5.358349282109903,0.27134656366171384
LZ_RAYBN,2017,03,21.907160161507402,6.77,64.19,6.549950608642895,0.2822799498891273
LZ_RAYBN,2017,04,22.213430555555554,8.2,61.88,5.862581020851394,0.2454591296963461
LZ_RAYBN,2017,05,24.001330645161293,6.21,62.63,6.850095988428785,0.283904219672863
LZ_RAYBN,2017,06,26.125041666666664,15.69,74.59,9.205680549494769,0.29509973862171807
LZ_RAYBN,2017,07,30.760497311827955,16.47,248.41,16.831198028483207,0.3885712581322647
LZ_RAYBN,2017,08,26.824825268817197,16.6,85.93,10.25467621902543,0.32210328627546037
LZ_RAYBN,2017,09,23.535680555555555,8.29,54.32,7.549488581314556,0.280661507263537
LZ_RAYBN,2017,10,21.379932795698924,2.04,75.15,7.82963496659632,0.33709298914724556
LZ_RAYBN,2017,11,21.829180555555556,3.86,70.1,7.445188047172327,0.33820483453499983
LZ_RAYBN,2017,12,21.31260752688172,7.81,59.25,4.855131894035036,0.20676999612658692
LZ_RAYBN,2018,01,39.37014784946236,7.82,1709.15,90.37409156066538,0.5289246088808092
LZ_RAYBN,2018,02,22.40316964285714,7.42,94.77,7.724018064781316,0.27527557946385683
LZ_RAYBN,2018,03,23.805706594885603,11.42,69.95,7.764584538226352,0.28300855993639884
LZ_RAYBN,2018,04,27.198875000000008,12.36,62.64,7.927631488254263,0.2795961835161443
LZ_RAYBN,2018,05,40.951249999999995,11.51,572.62,43.40898605325402,0.6185361205445146
LZ_RAYBN,2018,06,31.94558333333333,15.64,125.33,17.45883747724984,0.4499427338139779
LZ_RAYBN,2018,07,84.90190860215056,9.8,2234.47,250.62476031998634,0.931375166234778
LZ_RAYBN,2018,08,32.518723118279574,12.2,158.9,20.634102764280644,0.48091979506821936
LZ_RAYBN,2018,09,27.68088888888888,13.93,90.56,11.823806754293669,0.3466560138435642
LZ_RAYBN,2018,10,30.624959677419355,13.12,94.29,10.70226719032826,0.31150142600218683
LZ_RAYBN,2018,11,33.452444444444446,12.67,124.27,11.735302215008222,0.28831632507845584
LZ_RAYBN,2018,12,31.553534946236557,7.83,116.72,10.034378429938945,0.29620665135167296
LZ_RAYBN,2019,01,24.411491935483873,6.49,74.86,8.060814095455628,0.29565819711553815
LZ_RAYBN,2019,02,21.066279761904763,4.7,57.29,6.844085385799508,0.3271013302806415
LZ_RAYBN,2019,03,29.809798115746972,12.38,682.64,34.21999384570602,0.37028160698889323
LZ_RAYBN,2019,04,24.998305555555554,7.34,113.75,11.764075316688286,0.3722493849024492
LZ_RAYBN,2019,05,24.78815860215054,11.72,67.79,8.999232252081155,0.32153220307252633
LZ_RAYBN,2019,06,25.45851388888889,8.78,101.41,13.65401084347944,0.4163255651525232
LZ_RAYBN,2019,07,30.029717741935478,11.21,279.33,27.165856941493942,0.5598135177809067
LZ_RAYBN,2019,08,126.89788978494623,10.38,3503.7,401.9292603884114,1.215312499090812
LZ_RAYBN,2019,09,80.6986388888889,7.81,5012.22,380.90820213982494,0.8952737638233667
LZ_RAYBN,2019,10,28.5543817204301,7.43,850.07,52.132790025556,0.5681030650458733
LZ_RAYBN,2019,11,24.51756944444445,4.57,222.55,15.818155791296592,0.4181265216978952
LZ_RAYBN,2019,12,19.085067204301076,4.69,60.53,7.101435355892235,0.3153409368120267
LZ_SOUTH,2016,01,19.481720430107526,5.06,58.16,5.7107206445197045,0.27821201267357887
LZ_SOUTH,2016,02,15.935862068965516,1.59,52.27,6.329056652036595,0.49993091175483867
LZ_SOUTH,2016,03,19.521144010767163,0.56,100.0,12.325023585024747,0.5977543827469616
LZ_SOUTH,2016,04,20.738,1.04,120.0,13.178488937715967,0.6270276389453148
LZ_SOUTH,2016,05,20.691747311827957,2.76,100.0,12.251857833053956,0.5309990927017885
LZ_SOUTH,2016,06,27.471652777777773,4.94,141.69,15.831815212576418,0.4740186047959436
LZ_SOUTH,2016,07,28.88958333333333,9.49,106.32,13.878802914915042,0.4197394230696066
LZ_SOUTH,2016,08,31.823306451612893,13.43,240.28,29.39920761574284,0.5056708823860961
LZ_SOUTH,2016,09,28.76201388888889,11.16,206.79,16.32396173772861,0.4024798689986544
LZ_SOUTH,2016,10,30.031034946236556,3.68,290.71,24.11439290602675,0.5198769651495273
LZ_SOUTH,2016,11,20.63338888888889,2.81,59.68,7.707285909666224,0.4204752591343517
LZ_SOUTH,2016,12,26.32684139784946,2.59,148.13,12.181573627385523,0.4506450250212227
LZ_SOUTH,2017,01,25.155483870967743,1.85,142.48,10.779406305725367,0.42240282703113924
LZ_SOUTH,2017,02,21.79369047619048,3.22,54.63,7.831157785521077,0.4268418378267241
LZ_SOUTH,2017,03,26.528209959623144,4.69,94.55,10.897196845177303,0.3939512395948357
LZ_SOUTH,2017,04,28.549888888888887,10.5,119.88,12.735671759879727,0.37334922708971985
LZ_SOUTH,2017,05,29.979731182795703,5.34,94.72,12.98626101551835,0.41367013802049646
LZ_SOUTH,2017,06,36.78344444444444,15.65,150.0,22.435838620397625,0.4705869763064888
LZ_SOUTH,2017,07,34.19329301075268,17.34,276.3,20.840197731710745,0.4395839731895338
LZ_SOUTH,2017,08,33.457849462365594,16.66,139.11,19.49953245666295,0.44322245862685006
LZ_SOUTH,2017,09,28.33034722222222,8.84,84.54,10.499658158101534,0.3287107054063116
LZ_SOUTH,2017,10,28.464018817204295,4.52,129.79,13.227929173038133,0.3915488104204298
LZ_SOUTH,2017,11,27.865722222222217,8.04,109.23,11.2064793760655,0.34349594286937835
LZ_SOUTH,2017,12,25.404220430107525,7.07,99.02,7.91411820453693,0.2859546616960582
LZ_SOUTH,2018,01,46.13256720430109,6.56,1709.82,93.31581643122979,0.6047255844020877
LZ_SOUTH,2018,02,25.197038690476184,4.14,79.89,9.158766911369776,0.36199384858914413
LZ_SOUTH,2018,03,26.75997308209959,8.31,76.2,10.317034261654255,0.35049292856298
LZ_SOUTH,2018,04,28.18697222222222,8.32,63.43,9.605147553595849,0.352842243578636
LZ_SOUTH,2018,05,41.27442204301075,11.8,556.94,41.38933791209339,0.5761578822364957
LZ_SOUTH,2018,06,32.25868055555556,16.3,124.6,15.824630844733253,0.4021803399605227
LZ_SOUTH,2018,07,80.44756720430107,10.11,2068.16,234.40094203188025,0.8896911120233757
LZ_SOUTH,2018,08,33.69063172043011,15.79,151.59,21.41867258099859,0.48040828220547066
LZ_SOUTH,2018,09,28.38376388888889,16.0,91.31,11.343294717518607,0.33887964906363705
LZ_SOUTH,2018,10,32.12697580645161,16.13,100.1,12.02729397652684,0.3174056190738584
LZ_SOUTH,2018,11,33.54448611111112,10.49,120.91,13.681769776384673,0.34681847784417874
LZ_SOUTH,2018,12,32.11272849462367,7.62,125.61,11.133697976599079,0.3303646864985832
